Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/01/29 23:15:31 | 3.1450 (0) | 26.1459 dC | 56.4681 rH | 18.3333 lx | 0.0050 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:32 | 3.1450 (0) | 26.1412 dC | 56.4675 rH | 20.0000 lx | 0.0050 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:33 | 3.1450 (0) | 26.1398 dC | 56.4882 rH | 28.3333 lx | 0.0020 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:34 | 3.1450 (0) | 26.1076 dC | 56.4809 rH | 27.5000 lx | 0.0020 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:35 | 3.1450 (0) | 26.1316 dC | 56.4778 rH | 15.8333 lx | 0.0010 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:37 | 3.1450 (0) | 26.1143 dC | 56.4889 rH | 15.0000 lx | 0.0010 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:38 | 3.1450 (0) | 26.1240 dC | 56.5044 rH | 17.5000 lx | 0.0010 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:39 | 3.1450 (0) | 26.1139 dC | 56.4967 rH | 28.3333 lx | 0.0010 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:40 | 3.1450 (0) | 26.0996 dC | 56.4859 rH | 22.5000 lx | 0.0010 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:41 | 3.1450 (0) | 26.1158 dC | 56.4827 rH | 21.6667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:42 | 3.1450 (0) | 26.1003 dC | 56.5159 rH | 22.5000 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:43 | 3.1450 (0) | 26.0981 dC | 56.5135 rH | 19.1667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:45 | 3.1450 (0) | 26.0939 dC | 56.5418 rH | 26.6667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:46 | 3.1450 (0) | 26.0771 dC | 56.5365 rH | 18.3333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:47 | 3.1450 (0) | 26.0813 dC | 56.5134 rH | 24.1667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:48 | 3.1450 (0) | 26.0889 dC | 56.5035 rH | 26.6667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:49 | 3.1450 (0) | 26.0752 dC | 56.5195 rH | 26.6667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:50 | 3.1450 (0) | 26.0715 dC | 56.5376 rH | 25.0000 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:51 | 3.1450 (0) | 26.0893 dC | 56.5411 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:52 | 3.1450 (0) | 26.0767 dC | 56.5655 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:54 | 3.1450 (0) | 26.0813 dC | 56.5500 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:55 | 3.1450 (0) | 26.0706 dC | 56.5613 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:56 | 3.1450 (0) | 26.0672 dC | 56.5790 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:57 | 3.1450 (0) | 26.0607 dC | 56.5727 rH | 25.0000 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:15:58 | 3.1450 (0) | 26.0706 dC | 56.5448 rH | 25.0000 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:16:00 | 3.1450 (0) | 26.0523 dC | 56.5751 rH | 22.5000 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:16:01 | 3.1450 (0) | 26.0580 dC | 56.5782 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:16:02 | 3.1450 (0) | 26.0513 dC | 56.5803 rH | 21.6667 lx | 5.8020 V | 0.6120 mV | 6.1340 mA | 87.7390 mW
2023/01/29 23:16:03 | 3.1450 (0) | 26.0471 dC | 56.5868 rH | 21.6667 lx | 5.8020 V | 0.6120 mV | 6.1340 mA | 87.7390 mW
